pid,firstname,lastname,dob,position
AUBUCCH01,Chet,Aubuchon,1916-05-08 00:00:00,G

AUGMOST01,Stacey,Augmon,1968-08-01 00:00:00,G

AugusDJ01,D.J.,Augustin,1987-11-10 00:00:00,G

AugusJa01,James,Augustine,1984-02-27 00:00:00,F

AUSTIIS01,Isaac,Austin,1969-08-18 00:00:00,C

AUSTIJO01,John,Austin,1944-08-31 00:00:00,G

AUSTIKE01,Ken,Austin,1961-07-15 00:00:00,F

AVENTAN01,Anthony,Avent,1969-10-18 00:00:00,F

AVERIWI01,William,Averitt,1952-07-22 00:00:00,G

AVERYWI01,William,Avery,1979-08-08 00:00:00,G

AWTREDE01,Dennis,Awtrey,1948-02-22 00:00:00,C

AzubuKe01,Kelenna,Azubuike,1983-12-16 00:00:00,G

BABICMI01,Milos,Babic,1968-11-23 00:00:00,C

BACHJO01,Johnny,Bach,1924-07-10 00:00:00,F

BACONHE01,Henry,Bacon,1948-07-05 00:00:00,G

BAECHJI01,Jim,Baechtold,1927-12-09 00:00:00,F

BAGARDA01,Dalibor,Bagaric,1980-02-07 00:00:00,C

BAGLEJO01,John,Bagley,1960-04-23 00:00:00,G

BAILECA01,Carl,Bailey,1958-04-23 00:00:00,C

BAILEGU01,Gus,Bailey,1951-02-18 00:00:00,G

BAILEJA01,James,Bailey,1957-05-21 00:00:00,F

BAILETH01,Thurl,Bailey,1961-04-07 00:00:00,F

BAILETO01,Toby,Bailey,1975-11-19 00:00:00,G

BAKERJI01,Jimmie,Baker,1953-12-25 00:00:00,F

BAKERMA01,Mark,Baker,1969-11-11 00:00:00,G

BAKERNO01,Norm,Baker,1923-02-17 00:00:00,G

BAKERVI01,Vin,Baker,1971-11-23 00:00:00,F

BAKERMA02,Maurice,Baker,1979-07-28 00:00:00,G

BalkmRe01,Renaldo,Balkman,1984-07-14 00:00:00,F

BALLCE01,Cedric,Ball,1968-04-16 00:00:00,F

BALLAGR01,Greg,Ballard,1955-01-29 00:00:00,F

BALTIHE01,Herschel,Baltimore,1921-06-21 00:00:00,F

BANKSGE01,Gene,Banks,1959-05-15 00:00:00,F

BANKSWA01,Walker,Banks,1947-08-26 00:00:00,C

BANKSMA01,Marcus,Banks,1981-11-19 00:00:00,G

BANNIKE01,Ken,Bannister,1960-04-01 00:00:00,F

BANTOMI01,Mike,Bantom,1951-12-03 00:00:00,F

BARBOLE01,Leandrinho,Barbosa,1982-11-28 00:00:00,G

BARDOST01,Stephen,Bardo,1968-04-05 00:00:00,G

BareaJo01,Jose,Barea,1984-06-26 00:00:00,G

BargnAn01,Andrea,Bargnani,1985-10-26 00:00:00,F

BARKECL01,Cliff,Barker,1921-01-15 00:00:00,G

BARKETO01,Tom,Barker,1955-03-11 00:00:00,C

BARKLCH01,Charles,Barkley,1963-02-20 00:00:00,F

BARKLER01,Erick,Barkley,1978-02-21 00:00:00,G

BARKSDO01,Don,Barksdale,1923-03-31 00:00:00,F

BARNEHA01,Harry,Barnes,1945-07-25 00:00:00,F

BARNEJI01,Jim,Barnes,1941-04-13 00:00:00,C

BARNEMA01,Marvin,Barnes,1952-07-27 00:00:00,F

BARNEMA02,Matt,Barnes,1980-03-09 00:00:00,F

BARNENA01,Nate,Barnett,1953-01-29 00:00:00,G

BARNEJI02,Jim,Barnett,1944-07-07 00:00:00,G

BARNEDI01,Dick,Barnett,1936-10-02 00:00:00,G

BARNHJO01,John,Barnhill,1938-03-20 00:00:00,G

BARNHNO01,Norton,Barnhill,1953-07-15 00:00:00,G

BARNHLE01,Leo,Barnhorst,1924-05-11 00:00:00,F

BARRJO01,John,Barr,1918-08-18 00:00:00,F

BARRMI01,Mike,Barr,1950-10-19 00:00:00,G

BARRTH01,Thomas,Barr,1944-06-19 00:00:00,G

BARREER01,Ernie,Barrett,1929-08-27 00:00:00,G

BARREMI01,Mike,Barrett,1943-09-05 00:00:00,G

BARREAN01,Andre,Barrett,1982-02-21 00:00:00,G

BARROEA01,Earl,Barron,1981-08-14 00:00:00,C

BARRODA01,Dana,Barros,1967-04-13 00:00:00,G

BARRYBR01,Brent,Barry,1971-12-31 00:00:00,G

BARRYDR01,Drew,Barry,1973-02-17 00:00:00,G

BARRYJO01,Jon,Barry,1969-07-25 00:00:00,G

BARRYRI01,Rick,Barry,1944-03-28 00:00:00,F

BARTEED01,Ed,Bartels,1925-10-08 00:00:00,F

BARTOVI01,Vic,Bartolome,1948-09-29 00:00:00,C

BASDEED01,Eddie,Basden,1983-02-15 00:00:00,G

BASKEJE01,Jerry,Baskerville,1951-11-10 00:00:00,F

BASSBR01,Brandon,Bass,1985-04-30 00:00:00,F

BASSETI01,Tim,Bassett,1951-04-01 00:00:00,F

BASTOMA01,Maceo,Baston,1975-05-29 00:00:00,F

BATEEME01,Mengke,Bateer,1975-11-20 00:00:00,C

BATESBI01,Billyray,Bates,1956-05-31 00:00:00,G

BATISES01,Esteban,Batista,1983-09-02 00:00:00,G

BATISMI01,Mike,Batiste,1977-11-21 00:00:00,F

BATTITO01,Tony,Battie,1976-02-11 00:00:00,C

BATTISH01,Shane,Battier,1978-09-09 00:00:00,F

BATTLJO01,John,Battle,1962-11-09 00:00:00,G

BATTLKE01,Kenny,Battle,1964-10-10 00:00:00,G

BATTODA01,Dave,Batton,1956-03-26 00:00:00,C

BATTSLL01,Lloyd,Batts,1951-05-09 00:00:00,G

BatumNi01,Nicolas,Batum,1988-12-14 00:00:00,G

BAUMJO01,Johnny,Baum,1946-06-17 00:00:00,F

BAUMHFR01,Frankie,Baumholtz,1918-10-07 00:00:00,G

BAXTELO01,Lonny,Baxter,1979-07-27 00:00:00,F

BayleJe01,Jerryd,Bayless,1988-08-20 00:00:00,G

BAYLOEL01,Elgin,Baylor,1934-09-16 00:00:00,F

BAYNEHO01,Howard,Bayne,1942-07-28 00:00:00,F

BAZARSE01,Sergei,Bazarevich,1965-03-16 00:00:00,G

BEACHED01,Ed,Beach,1929-01-25 00:00:00,F

BEARDAL01,Al,Beard,1942-04-27 00:00:00,C

BEARDBU01,Butch,Beard,1947-05-04 00:00:00,G

BEARDRA01,Ralph,Beard,1927-12-02 00:00:00,G

BEASLCH01,Charlie,Beasley,1945-09-23 00:00:00,G

BEASLJO01,John,Beasley,1944-02-05 00:00:00,F

BeaslMi01,Michael,Beasley,1989-01-09 00:00:00,F

BEASLJE01,Jerome,Beasley,1980-05-17 00:00:00,F

BEATYZE01,Zelmo,Beaty,1939-10-25 00:00:00,C

BeaubRo01,Rodrigue,Beaubois,1988-02-24 00:00:00,G

BECKBY01,Byron,Beck,1945-01-25 00:00:00,C

BECKCO01,Corey,Beck,1971-05-27 00:00:00,G

BECKER01,Ernie,Beck,1931-12-11 00:00:00,G

BECKEAR01,Art,Becker,1942-01-12 00:00:00,F

BECKEMO01,Moe,Becker,1917-02-24 00:00:00,G

BEDELBO01,Bob,Bedell,1944-06-26 00:00:00,F

BEDFOWI01,William,Bedford,1963-12-14 00:00:00,C

BEENDHA01,Hank,Beenders,1916-06-02 00:00:00,C

BEHAGRO01,Ron,Behagen,1951-01-14 00:00:00,F

BEHNKEL01,Elmer,Behnke,1929-02-03 00:00:00,C

BelinMa01,Marco,Belinelli,1986-03-25 00:00:00,G


PAYNETO01,Tom,Payne,1950-11-19 00:00:00,C

PAYTOGA01,Gary,Payton,1968-07-23 00:00:00,G

PAYTOME01,Mel,Payton,1926-07-16 00:00:00,G

PEARCGE01,George,Pearcy,1919-07-02 00:00:00,G

PEARCHE01,Henry,Pearcy,1922-07-21 00:00:00,G

PecheOl01,Oleksiy,Pecherov,1985-12-08 00:00:00,F

PECKWI01,Wiley,Peck,1957-09-15 00:00:00,G

PEEKRI01,Richard,Peek,1943-10-28 00:00:00,C

PEELEAN01,Anthony,Peeler,1969-11-25 00:00:00,G

PEEPLGE01,George,Peeples,1943-10-30 00:00:00,F

PELKIJA01,Jake,Pelkington,1916-01-03 00:00:00,C

PELLOSA01,Sam,Pellom,1951-10-02 00:00:00,F

PENBEMI01,Mike,Penberthy,1973-11-29 00:00:00,G

PENDEJE01,Jerry,Pender,1950-02-12 00:00:00,G

PendeJe02,Jeff,Pendergraph,1987-04-29 00:00:00,F

PENIGDE01,Desmond,Penigar,1981-07-16 00:00:00,F

PENNEKI01,Kirk,Penney,1980-11-23 00:00:00,G

PEPLOMI01,Mike,Peplowski,1970-10-15 00:00:00,C

PERDUWI01,Will,Perdue,1965-08-29 00:00:00,C

PERKISA01,Sam,Perkins,1961-06-14 00:00:00,F

PERKIWA01,Warren,Perkins,1924-02-02 00:00:00,G

PERKIKE01,Kendrick,Perkins,1984-11-10 00:00:00,F

PerovKo01,Kosta,Perovic,1985-02-19 00:00:00,C

PERRYAU01,Aulcie,Perry,1950-07-03 00:00:00,C

PERRYCU01,Curtis,Perry,1948-09-13 00:00:00,F

PERRYEL01,Elliot,Perry,1969-03-28 00:00:00,G

PERRYRO01,Ron,Perry,1943-12-29 00:00:00,G

PERRYTI01,Tim,Perry,1965-06-04 00:00:00,F

PERSOCH01,Chuck,Person,1964-06-27 00:00:00,F

PERSOWE01,Wesley,Person,1971-03-28 00:00:00,G

PETERJI01,Jim,Petersen,1962-02-22 00:00:00,F

PETERLO01,Loy,Petersen,1945-07-26 00:00:00,G

PETERME01,Mel,Peterson,1938-03-23 00:00:00,G

PETERMO01,Morris,Peterson,1977-08-26 00:00:00,F

PETERBO01,Bob,Peterson,1932-01-25 00:00:00,F

PETERED01,Ed,Peterson,1924-06-27 00:00:00,C

PETRIGE01,Geoff,Petrie,1948-04-17 00:00:00,G

PETROJO01,Johan,Petro,1986-01-27 00:00:00,C

PETRODR01,Drazen,Petrovic,1964-10-22 00:00:00,G

PETRURI01,Richard,Petruska,1969-01-25 00:00:00,C

PETTIBO01,Bob,Pettit,1932-12-12 00:00:00,F

PETTWJE01,Jerry,Pettway,1944-02-13 00:00:00,G

PHEGLRO01,Roger,Phegley,1956-10-16 00:00:00,G

PHELAJA01,Jack,Phelan,1925-11-06 00:00:00,F

PHELAJI01,Jim,Phelan,1929-03-19 00:00:00,G

PHELPDE01,Derrick,Phelps,1972-07-31 00:00:00,F

PHELPMI01,Mike,Phelps,1961-10-03 00:00:00,G

PHILLAN01,Andy,Phillip,1922-03-07 00:00:00,G

PHILLED01,Eddie,Phillips,1961-09-29 00:00:00,F

PHILLGA01,Gary,Phillips,1939-12-07 00:00:00,G

PHILLGE01,Gene,Phillips,1948-10-25 00:00:00,G

PHILLBO01,Bobby,Phills,1969-12-20 00:00:00,G

PIATKER01,Eric,Piatkowski,1970-09-30 00:00:00,G

PIATKWA01,Walt,Piatkowski,1945-06-11 00:00:00,F

PIERCPA01,Paul,Pierce,1977-10-13 00:00:00,G

PIERCRI01,Ricky,Pierce,1959-08-19 00:00:00,G

PIETKST01,Stan,Pietkiewicz,1956-07-14 00:00:00,G

PIETRMI01,Mickael,Pietrus,1982-02-07 00:00:00,G

PILCHJO01,John,Pilch,1925-07-11 00:00:00,F

PINCKED01,Ed,Pinckney,1963-03-27 00:00:00,F

PinknKe01,Kevinn,Pinkney,1983-10-20 00:00:00,F

PINONJO01,John,Pinone,1961-02-19 00:00:00,F

PIONTDA01,Dave,Piontek,1934-08-27 00:00:00,F

PIOTRTO01,Tom,Piotrowski,1960-10-17 00:00:00,C

PIPPESC01,Scottie,Pippen,1965-09-25 00:00:00,F

PITTMCH01,Charlie,Pittman,1958-03-23 00:00:00,F

PLANIZO01,Zoran,Planinic,1982-09-12 00:00:00,G

PLUMMGA01,Gary,Plummer,1962-02-21 00:00:00,F

PODKOPA01,Pavel,Podkolzine,1985-01-15 00:00:00,C

POLEEDW01,Dwayne,Polee,1963-03-02 00:00:00,F

POLLAJI01,Jim,Pollard,1922-07-09 00:00:00,F

POLLASC01,Scot,Pollard,1975-02-12 00:00:00,C

POLSORA01,Ralph,Polson,1929-10-26 00:00:00,F

POLYNOL01,Olden,Polynice,1964-11-21 00:00:00,C

POPEDA01,David,Pope,1962-04-15 00:00:00,F

POPEMA01,Mark,Pope,1972-09-11 00:00:00,F

POPSODA01,Dave,Popson,1964-05-17 00:00:00,C

POQUEBE01,Ben,Poquette,1955-05-07 00:00:00,F

PORTECH01,Chris,Porter,1978-05-09 00:00:00,F

PORTEHO01,Howard,Porter,1948-08-31 00:00:00,F

PORTEKE01,Kevin,Porter,1950-04-17 00:00:00,G

PORTETE01,Terry,Porter,1963-04-08 00:00:00,G

PORTEWI01,Willie,Porter,1942-07-03 00:00:00,F

PORTMBO01,Bob,Portman,1947-03-22 00:00:00,F

POSEYJA01,James,Posey,1977-01-13 00:00:00,F

POSTELA01,Lavor,Postell,1978-02-26 00:00:00,G

POSTLJO01,John,Postley,1940-05-30 00:00:00,F

POTAPVI01,Vitaly,Potapenko,1975-03-21 00:00:00,C

PoweLe01,Leon,Powe,1984-01-22 00:00:00,F

PowelRo01,Roger,Powell,1983-01-15 00:00:00,F

PowelKa01,Kasib,Powell,1981-03-18 00:00:00,F

POWELJO01,Josh,Powell,1983-12-05 00:00:00,F

POWELCI01,Cincy,Powell,1942-02-25 00:00:00,F

PRADDMA01,Marlbert,Pradd,1944-11-17 00:00:00,G

PRATTMI01,Mike,Pratt,1948-08-04 00:00:00,G

PRESSPA01,Paul,Pressey,1958-12-24 00:00:00,G

PRESSDO01,Dominic,Pressley,1964-05-30 00:00:00,G

PRESSHA01,Harold,Pressley,1963-07-14 00:00:00,F

PREVIST01,Steve,Previs,1950-02-09 00:00:00,G

PRICEBR01,Brent,Price,1968-12-09 00:00:00,G

PRICEJI01,Jim,Price,1949-11-27 00:00:00,G

PRICEMA01,Mark,Price,1964-02-15 00:00:00,G

PRICEMI01,Mike,Price,1948-09-11 00:00:00,G

PRICETO01,Tony,Price,1957-01-05 00:00:00,G

PRICERO01,Ronnie,Price,1983-06-21 00:00:00,G

PriceAJ01,A.J.,Price,1986-10-07 00:00:00,G

PRIDDBO01,Bob,Priddy,1930-03-24 00:00:00,F

PRINCTA01,Tayshaun,Prince,1980-02-28 00:00:00,G

PRITCJO01,John,Pritchard,1927-01-23 00:00:00,C

PRITCKE01,Kevin,Pritchard,1967-07-17 00:00:00,G

PROFILA01,Laron,Profit,1977-08-05 00:00:00,G

PruitGa01,Gabe,Pruitt,1986-04-19 00:00:00,G

PRZYBJO01,Joel,Przybilla,1979-10-10 00:00:00,C

PUGHLE01,Les,Pugh,1923-09-18 00:00:00,C

PUGHRO01,Roy,Pugh,1923-01-01 00:00:00,C

PULLAAN01,Anthony,Pullard,1966-06-23 00:00:00,F

PUTMADO01,Don,Putman,1922-11-13 00:00:00,G

QUICKBO01,Bob,Quick,1946-03-05 00:00:00,F

QuinnCh01,Chris,Quinn,1983-09-27 00:00:00,G

QUINNBR01,Brian,Quinnett,1966-05-30 00:00:00,G

RACKLLU01,Luke,Rackley,1946-06-11 00:00:00,C

RADERHO01,Howie,Rader,1921-03-29 00:00:00,G

RADFOMA01,Mark,Radford,1959-07-05 00:00:00,G

RADFOWA01,Wayne,Radford,1956-05-29 00:00:00,G

RADJADI01,Dino,Radja,1967-04-24 00:00:00,F

RADMAVL01,Vladimir,Radmanovic,1980-11-19 00:00:00,F

RADOJAL01,Alex,Radojevic,1976-08-08 00:00:00,C

RADOVFR01,Frank,Radovich,1938-03-03 00:00:00,F

RADOVMO01,Moe,Radovich,1929-05-05 00:00:00,G

RADZIRA01,Ray,Radziszewski,1935-03-01 00:00:00,F

RAGELRA01,Ray,Ragelis,1928-12-10 00:00:00,F

RAIKESH01,Sherwin,Raiken,1928-10-29 00:00:00,G

RAINSED01,Ed,Rains,1956-12-24 00:00:00,F

RAKOCIG01,Igor,Rakocevic,1978-03-29 00:00:00,G

RAMBIKU01,Kurt,Rambis,1958-02-25 00:00:00,F

RAMOSPE01,Peter,Ramos,1985-05-13 00:00:00,C

RAMSECA01,Cal,Ramsey,1937-07-13 00:00:00,F

RAMSEFR01,Frank,Ramsey,1931-07-13 00:00:00,F

RAMSERA01,Ray,Ramsey,1921-07-18 00:00:00,G

RANDAMA01,Mark,Randall,1967-09-30 00:00:00,F

RANDOZA01,Zachary,Randolph,1981-07-16 00:00:00,F

RANDOSH01,Shavlik,Randolph,1983-11-24 00:00:00,F

RandoAn01,Anthony,Randolph,1989-07-15 00:00:00,F

RANKWA01,Wally,Rank,1958-03-01 00:00:00,F

RANSEKE01,Kelvin,Ransey,1958-05-03 00:00:00,G

RANZISA01,Sam,Ranzino,1927-06-21 00:00:00,G

RASCOBO01,Bobby,Rascoe,1940-07-22 00:00:00,G

RASMUBL01,Blair,Rasmussen,1962-11-13 00:00:00,C

RATKOGE01,George,Ratkovicz,1922-11-13 00:00:00,F

RATLITH01,Theo,Ratliff,1973-04-17 00:00:00,C

RAUTILE01,Leo,Rautins,1960-03-20 00:00:00,F

RAYCL01,Clifford,Ray,1949-01-21 00:00:00,C

RAYDO01,Don,Ray,1921-07-08 00:00:00,F

RAYJA01,Jamesearl,Ray,1957-07-27 00:00:00,F

RAYJI01,Jim,Ray,1934-01-12 00:00:00,G

RayAl01,Allan,Ray,1984-06-17 00:00:00,G

RAYLJI01,Jim,Rayl,1941-06-21 00:00:00,G

RAYMOCR01,Craig,Raymond,1945-04-05 00:00:00,C

REACO01,Connie,Rea,1935-01-27 00:00:00,G

REAVEJO01,Joe,Reaves,1950-05-27 00:00:00,F

REBRAZE01,Zeljko,Rebraca,1972-04-09 00:00:00,C

RECASEL01,Eldridge,Recasner,1967-12-14 00:00:00,G

REDDMI01,Michael,Redd,1979-08-24 00:00:00,G

REDDOFR01,Frank,Reddout,1931-01-01 00:00:00,F

RedicJJ01,J.J.,Redick,1984-06-24 00:00:00,G

REDMOMA01,Marlon,Redmond,1955-04-15 00:00:00,G

REEDHU01,Hub,Reed,1936-10-04 00:00:00,C

REEDRO01,Ron,Reed,1942-11-02 00:00:00,F

REEDWI01,Willis,Reed,1942-06-25 00:00:00,C

REEDJU01,Justin,Reed,1982-01-16 00:00:00,F

REEVEBR01,Bryant,Reeves,1973-06-08 00:00:00,C

REEVEKH01,Khalid,Reeves,1972-07-15 00:00:00,G

REGANRI01,Richie,Regan,1930-11-30 00:00:00,G

REHFEDO01,Don,Rehfeldt,1927-01-07 00:00:00,F

REIDBI01,Billy,Reid,1957-09-10 00:00:00,G

REIDDO01,Don,Reid,1973-12-30 00:00:00,F

REIDJI01,Jim,Reid,1945-08-03 00:00:00,C

REIDJR01,J.r.,Reid,1968-03-31 00:00:00,F

REIDRO01,Robert,Reid,1955-08-30 00:00:00,F

REINEJA01,Jared,Reiner,1982-04-08 00:00:00,F

REISEJO01,Joseph,Reiser,1914-12-17 00:00:00,G

RELLFRI01,Richard,Rellford,1964-02-16 00:00:00,F

RENCHTE01,Terrence,Rencher,1973-02-19 00:00:00,G

RENNIJO01,John,Rennicke,1929-08-11 00:00:00,G

RENSBRO01,Rob,Rensberger,1921-03-07 00:00:00,F

RENTZEF01,Efthimios,Rentzias,1976-01-11 00:00:00,C

RESPESH01,Shawn,Respert,1972-02-06 00:00:00,G

RESTAKE01,Kevin,Restani,1951-12-23 00:00:00,F

REYNOGE01,George,Reynolds,1947-11-23 00:00:00,G

REYNOJE01,Jerry,Reynolds,1962-12-23 00:00:00,G

RHINEKE01,Kendall,Rhine,1943-02-13 00:00:00,C

RHODEGE01,Gene,Rhodes,1927-09-02 00:00:00,G

